,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
287,17.0,10.6,13.8,0.0,81.4,89.6,0.8760580505981934,6.0
288,10.4,4.7,7.550000000000001,1.0,50.0,80.4,-0.4228539261329407,-2.25
289,10.4,4.7,7.550000000000001,1.0,50.0,80.4,0.9505468408120751,7.0
290,10.4,4.7,7.550000000000001,1.0,50.0,80.4,0.0,0.0
291,10.4,4.7,7.550000000000001,1.0,50.0,80.4,0.6747409422235527,4.0
292,10.4,4.7,7.550000000000001,1.0,50.0,80.4,0.0,0.0
293,10.4,4.7,7.550000000000001,1.0,50.0,80.4,-0.26060239174734096,-1.3333333333333333
294,10.4,4.7,7.550000000000001,1.0,50.0,80.4,-0.5880026035475676,-3.3333333333333335
295,10.4,4.7,7.550000000000001,1.0,50.0,80.4,0.9505468408120751,7.0
296,10.4,4.7,7.550000000000001,1.0,50.0,80.4,1.1760052070951352,12.0
297,10.2,3.5,6.85,3.0,98.2,51.3,1.1441688336680205,11.0
298,10.2,3.5,6.85,3.0,98.2,51.3,0.6747409422235527,4.0
299,10.2,3.5,6.85,3.0,98.2,51.3,0.9505468408120751,7.0
300,10.2,3.5,6.85,3.0,98.2,51.3,-0.26060239174734096,-1.3333333333333333
301,10.2,3.5,6.85,3.0,98.2,51.3,0.9505468408120751,7.0
302,10.2,3.5,6.85,3.0,98.2,51.3,0.3805063771123649,2.0
303,10.2,3.5,6.85,3.0,98.2,51.3,0.9505468408120751,7.0
304,10.2,3.5,6.85,3.0,98.2,51.3,0.0,0.0
305,10.2,3.5,6.85,3.0,98.2,51.3,0.8760580505981934,6.0
306,10.2,3.5,6.85,3.0,98.2,51.3,-0.40890782895092537,-2.1666666666666665
307,10.2,3.5,6.85,3.0,98.2,51.3,-0.5880026035475676,-3.3333333333333335
308,10.2,3.5,6.85,3.0,98.2,51.3,0.0,0.0
309,10.2,3.5,6.85,3.0,98.2,51.3,0.6747409422235527,4.0
310,10.2,3.5,6.85,3.0,98.2,51.3,-0.4228539261329407,-2.25
311,10.2,3.5,6.85,3.0,98.2,51.3,0.8760580505981934,6.0
312,10.2,3.5,6.85,3.0,98.2,51.3,0.8760580505981934,6.0
313,10.0,3.8,6.9,1.0,162.4,68.3,0.3805063771123649,2.0
314,10.0,3.8,6.9,1.0,162.4,68.3,0.9505468408120751,7.0
315,10.0,3.8,6.9,1.0,162.4,68.3,0.8760580505981934,6.0
316,10.0,3.8,6.9,1.0,162.4,68.3,-0.5693131911006619,-3.2
317,10.0,3.8,6.9,1.0,162.4,68.3,-0.4228539261329407,-2.25
318,10.0,3.8,6.9,1.0,162.4,68.3,0.9505468408120751,7.0
319,10.0,3.8,6.9,1.0,162.4,68.3,0.6747409422235527,4.0
320,10.0,3.8,6.9,1.0,162.4,68.3,1.1441688336680205,11.0
321,10.0,3.8,6.9,1.0,162.4,68.3,0.6747409422235527,4.0
322,10.0,3.8,6.9,1.0,162.4,68.3,0.0,0.0
323,10.6,4.4,7.5,0.0,89.8,91.7,0.9505468408120751,7.0
324,10.6,4.4,7.5,0.0,89.8,91.7,-0.5880026035475676,-3.3333333333333335
325,10.6,4.4,7.5,0.0,89.8,91.7,0.9505468408120751,7.0
326,10.6,4.4,7.5,0.0,89.8,91.7,1.1441688336680205,11.0
327,10.6,4.4,7.5,0.0,89.8,91.7,1.1760052070951352,12.0
328,10.6,4.4,7.5,0.0,89.8,91.7,0.9505468408120751,7.0
329,10.6,4.4,7.5,0.0,89.8,91.7,-0.23554498072086333,-1.2
330,10.6,4.4,7.5,0.0,89.8,91.7,0.0,0.0
331,10.6,4.4,7.5,0.0,89.8,91.7,0.6747409422235527,4.0
332,10.6,4.4,7.5,0.0,89.8,91.7,1.1441688336680205,11.0
333,10.6,4.4,7.5,0.0,89.8,91.7,-0.4636476090008061,-2.5
334,10.6,4.4,7.5,0.0,89.8,91.7,1.299849476456476,18.0
335,14.1,4.4,9.25,1.0,27.8,161.4,-0.4228539261329407,-2.25
336,14.1,4.4,9.25,1.0,27.8,161.4,-0.3805063771123649,-2.0
337,14.1,4.4,9.25,1.0,27.8,161.4,1.313472611823808,19.0
338,14.1,4.4,9.25,1.0,27.8,161.4,0.6747409422235527,4.0
339,14.1,4.4,9.25,1.0,27.8,161.4,1.4432867685796584,39.0
340,14.1,4.4,9.25,1.0,27.8,161.4,-0.4636476090008061,-2.5
